ean,descricao,marca,conteudo,origem,autorizacao,enviado_por,imagem
7896581355560,DADINHO TAPIOCA PIF PAF SC 300G C.Q,Pif Paf,300 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581355560.webp
7896581356277,FILEZINHO PEITO PIF PAF IQF 1KG,Pif Paf,1 kg,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581356277.webp
7896581356284,COXINHA ASA PIF PAF IQF 1KG,Pif Paf,1 kg,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581356284.webp
7896581356291,COXINHA ASA PIF PAF TEMP.IQF 1KG,Pif Paf,1 kg,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581356291.webp
7896581356307,MEIO DA ASA TEMP.IQF PIF PAF 1KG,Pif Paf,1 kg,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581356307.webp
7896581356314,FRANGO PASSARINHO PIF PAF PC 1KG TE,Pif Paf,1 kg,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581356314.webp
7896581356321,LING.PIF PAF TOSCANA PC 1KG GRILL,Pif Paf,1 kg,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581356321.webp
7896581356529,FILE COXA SOBRECOXA PIF PAF IQF 1KG,Pif Paf,1 kg,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581356529.webp
7896581356642,BATATA CONG.PIF PAF 1.050KG PALITO,Pif Paf,"1,050 kg",industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581356642.webp
7896581357540,COXINHA PIF PAF 300GR FRANGO.C.REQ.,Pif Paf,300 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581357540.webp
7896581357588,COXINHA PIF PAF 300GR FRANGO,Pif Paf,300 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581357588.webp
7896581357786,HAMBURGUER PIF PAF SC 56GR MISTO,Pif Paf,56 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581357786.webp
7896581357793,PAO DE QUEIJO PIF PAF 1KG TRAD.,Pif Paf,1 kg,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581357793.webp
